Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Square Footage,Contract Expiration,Recent Post,Determine research guidelines 3157(preview) - 01be130a-6e0c-4099-bd38-2676b4705692,Occupancy Type,Qualified,Move-In State,Rent/SF/year,Square FT,Rent Type,Moved In,Local Address,SIC,Move-In Type,Landlord,Account Holder,Step 1,Annual KWh Usage,% Of Building,Move In Date,Electricity Supplier,Yearly Usage,Signing Date,Step 2,Move-In City,Decision Maker,DM,Account Salesforce ID
Monarch Power,Monarch Power,Cold,"Ultra Enriched Leads, Out Of Texas Accounts, power choosers",25,machinery,lpatterson@claritypower.org,http://www.monarchpowersupply.com,http://www.linkedin.com/company/monarch-power-supply,https://www.facebook.com/monarchpowersupply,"",6100 S 6th Way,Ridgefield,Washington,United States,98642-3339,"6100 S 6th Way, Ridgefield, Washington, United States, 98642-3339","engines & power transmission equipment manufacturing, power generation, oem engine integration, reliable engines, dealer network, iopu engines, u.s. epa tier 4 final, engine technology, electric power engines, reliable power units, power equipment support, oem partnerships, engine diagnostics, emissions standards, industrial engines, eu stage v, aftermarket support, power system support, power solutions, engine durability, engine manufacturing, engine performance optimization, power equipment, engine warranty, diesel engines, genuine engine parts, plug-and-play engines, global emissions compliance, industrial power engines, engine parts, engine service, engine testing, engine customization, engine durability testing, perkins engines, construction, oem support, engine series, engine support, construction equipment, power density engines, rental services, advanced fuel system, industrial equipment, heavy-duty engines, engine performance, engine innovation, compact engine design, engine replacement, engine maintenance, b2b, services, machinery",'+1 405-655-5732,"Outlook, Microsoft Office 365, Hubspot, Scene7, Facebook Login (Connect), Google Tag Manager, Google Font API, Facebook Custom Audiences, ClickDimensions, WordPress.org, reCAPTCHA, Facebook Widget, Mobile Friendly, Linkedin Marketing Solutions, Remote","","","","","","",68523f445e595c00013d77e4,3531,Monarch Power Supply is an authorized Perkins Engines distributor for the Western United States.,"",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/689056b1581b2c000151a6a8/picture,"","","","","","","","","",Leased,"",TX,$12.01 (Est.),"24,500",Starting Rent,Jul 2023,12010 Fm 529,Engineering Services - 8711,"",William T White III,"","","",100%,"","","",Apr 2023,"",Houston,"","",""
Liberty Carton,Liberty Carton,Cold,"Ultra Enriched Leads, power choosers",48,packaging & containers,lpatterson@claritypower.org,http://www.libertypackaginginc.com,http://www.linkedin.com/company/libertypackaginginc,https://facebook.com/libertycarton,https://twitter.com/libertycarton,"","","","","","","corrugated packaging solutions, jumbo packaging, digital, high graphics printing, protective packaging, innovation, design, sustainable, warehousing, distribution, packaging & containers manufacturing, customer portal, transition management, real-time reporting, certifications, continuous improvement, waste reduction, logistics optimization, logistics and distribution, supply chain solutions, performance testing, data systems integration, manufacturing efficiency, trial protocols, environmental compliance, supply chain management, sustainable packaging, state-of-the-art manufacturing, packaging transition process, kitting and assembly, design and innovation, recycled materials, lean principles, manufacturing, quality standards, performance improvement, environmentally friendly coatings, environmental testing protocols, data analysis, e-commerce packaging, cost-effective solutions, packaging innovation, packaging and containers, point-of-purchase displays, automation, environmental sustainability, corrugated packaging, product design, edi systems, customized service models, custom packaging, inventory management, warehouse and distribution, b2b, e-commerce, consulting, services, retail, shipping, logistics & supply chain, mechanical or industrial engineering, data analytics, packaging & containers, consumer internet, consumers, internet, information technology & services","",Outlook,"","","","","","",68548257c8c8440001967d40,2672,"With over 100 years of experience, Liberty Packaging has earned a reputation for reliability, quality, and customer-centric service. Our extensive history and commitment to continuous improvement, paired with our dedication to sustainability, make us the ideal strategic partner for businesses seeking to elevate their packaging.

At Liberty Packaging, we are proud to offer solutions made from 100% recycled materials, reflecting our deep commitment to sustainability and environmental responsibility. With 11 converting sites and a paper mill, our operations span across the U.S. and Mexico, ensuring we can meet the diverse needs of our clients wherever they are located. 

As a strategic partner, we don't just deliver packaging, we actively collaborate with our clients to understand their unique business needs. By fostering long-term relationships, we ensure every package is designed with precision, durability, and functionality to help streamline packaging processes, enhance product presentation, and ultimately drive greater customer satisfaction.

Innovation is at the heart of everything we do. From cutting-edge design techniques to pioneering new materials and manufacturing processes, Liberty Packaging continually strives to push the boundaries of what's possible in corrugated packaging. We understand that packaging is not just about protection—it's about creating an impactful brand experience that resonates with your customers.

",1918,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68a4a62f98d0260001ae40bd/picture,"","","","","","","","","",Leased,"",TX,"","20,000","",Aug 2022,2650 Sylvania Cross Dr,"","","Mercantile Partners, LP","","","",21.3%,"","","","","",Fort Worth,"","",""
DR Delphinium Design & Events,DR Delphinium Design & Events,Cold,"Ultra Enriched Leads, power choosers",51,retail,lpatterson@claritypower.org,http://www.drdelphinium.com,http://www.linkedin.com/company/dr-delphinium-designs-&-events---dallas-florist,https://facebook.com/DrDelphinium,https://twitter.com/drdelphinium,"","","","","","","flowers, plants, weddings, interior landscaping, gifts, event planning, retail, corporate events, consumer goods, consumers, events services, event planning & services, floral designers, florists, flowers & gifts, gift shops, shopping",'+1 214-522-9911,"Gmail, Google Apps, Remote","","","","",1316000,4,6881aded098a7e0001455613,2300,"Dr Delphinium Designs+Events has proudly served the Dallas Metroplex for over 35 years, crafting exquisite floral arrangements that elevate any occasion. As a premier luxury florist in Dallas, TX, our dedicated team combines artistic craftsmanship with a passion for exceptional customer service. Whether you're celebrating a wedding, corporate event, or a special moment, we create bespoke floral designs that leave a lasting impression. Experience the elegance and sophistication of Dr Delphinium, where every detail is thoughtfully curated to bring your vision to life.

Open 7 days a week.",1988,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68981f5b32ef480001affbac/picture,"","","","","","","","","",Owned,"","","","45,000","",Jul 2017,9200 John W Carpenter Fwy,"","",DR Delphinium Design & Events,"","","",100%,"","","","","",Dallas,"","",""
"Trio Pines (USA), Inc.",Trio Pines,Cold,"Ultra Enriched Leads, power choosers",21,wholesale,lpatterson@claritypower.org,http://www.triopines.com,http://www.linkedin.com/company/trio-pines-usa-inc,https://www.facebook.com/triopines,https://twitter.com/TrioPines,6655 Knott Ave,Buena Park,California,United States,90620,"6655 Knott Ave, Buena Park, California, United States, 90620","casters wheels, casters, casters amp wheels, wheels, medical equipment, automotive, shock-absorbing casters, construction, load capacity, iso 9001 certified, manufacturing, material handling, industry-specific casters, r&d engineering, aerospace, automated casters, quality assurance, motorized casters, material handling casters, high-quality casters, custom casters, customization options, b2b, mechanical or industrial engineering, aviation & aerospace",'+1 800-468-6987,"Outlook, Microsoft Office 365, Google Cloud Hosting, Google Font API, Mobile Friendly, Vimeo, YouTube, Gravity Forms, Woo Commerce, Nginx, Facebook Custom Audiences, WordPress.org, Google Tag Manager","","","","",50331000,"",6881aded098a7e0001455637,1795,"For more than 40 years, we've been quietly manufacturing casters millions of people use everyday. Trio Pines offers better quality, better selection, better pricing and better service nationwide from our three company-owned warehouses and sales offices across the country.

From the lightest duty casters which hold a few pounds, to heavy duty models with capacities over a ton-and-a-half -- and some 30,000 other casters in-between -- Trio Pines offers the best value of any caster company.",1971,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f91515a772310001370745/picture,"","","","","","","","","",Owned,"","","","25,564","",Jan 2015,9151 King Arthur Dr,"Hardware, Nec - 3429","","Trio Pines U.S.A., Inc.","","","",100%,"","","","","",Dallas,"","",""
Midway Press LTD,Midway Press,Cold,"Ultra Enriched Leads, power choosers",31,printing,lpatterson@claritypower.org,http://www.midwaypress.com,http://www.linkedin.com/company/midway-press-ltd,"","","",Prosper,Texas,United States,"","Prosper, Texas, United States","printing services, custom sizes, sustainable practices, direct mail printing, mailing services, graphic design support, magazine printing, file transfer options, printing, coldset presses, matte finish, file upload resources, large format printing, customer trust, high-quality printing, customer service, family-owned, heatset presses, press-ready files, recycling program, air pollution reduction, print shop, offset printing, timely delivery, flyer printing, publication printing, press-ready pdfs, print process efficiency, binding options, water savings, print process, print automation, in-house mailing, print quality, pressroom automation, press proofing, binding and finishing, environmental impact, brochure printing, family business, press technology, catalog printing, recycling tons, newspaper printing, local and national distribution, tree conservation, customer partnerships, print production, folding and perforating, print quality assurance, north american service, print solutions, long-term employee retention, color options, sustainable printing, file coaching, uv coating, partnership focus, north america, press plates, labels and shrink-wrap, commercial printing, glossy finish, b2b, services",'+1 972-233-8404,"Outlook, Microsoft Office 365, Backbone JS Library, YouTube, Apache, CallRail, Google Tag Manager, Mobile Friendly, reCAPTCHA, Bootstrap Framework, Data Analytics","","","","",35865000,"",6884c3f28655ee0001a226c3,2752,"Midway Press LTD is a Printing company located in 208 W Broadway St, Prosper, Texas, United States.",1984,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","","",Owned,"",TX,"","47,600","",Jun 2005,645 Regal Row,"Commercial Printing,Litho - 2752","","Andrew Hirschy Properties, LTD","","","",100%,"","","","","",Dallas,"","",""
American Glass Distributors,American Glass Distributors,Cold,"Ultra Enriched Leads, power choosers",42,"glass, ceramics & concrete",lpatterson@claritypower.org,http://www.allamericanglass.com,http://www.linkedin.com/company/all-american-glass-distributors-inc,"","",5000 South Fwy,Fort Worth,Texas,United States,76115-3902,"5000 South Fwy, Fort Worth, Texas, United States, 76115-3902","automotive glass & automotive glass supplies & tools, glass, ceramics & concrete manufacturing, building materials",'+1 713-692-8522,"Cloudflare DNS, Gmail, Outlook, Google Apps, Microsoft Office 365, CloudFlare Hosting, Salesforce, Sendgrid, Microsoft Azure Hosting, YouTube, reCAPTCHA, Google Font API, Microsoft-IIS, Google Tag Manager, Google translate API, Google Maps (Non Paid Users), ASP.NET, Multilingual, Mobile Friendly, UltiPro, Bootstrap Framework, Google Maps, Google translate widget, Remote","","","","",14145000,"",6884c3f28655ee0001a226cb,"","American Glass Distributors takes great pride in serving auto glass professionals with high-quality products at competitive prices. Family-owned and operated since 1972, we have grown into one of the largest independent wholesale distributors of replacement auto glass and supplies in the southern United States. This purchasing power coupled with our factory-direct relationships and our 14 strategically located warehouses enables our in-house delivery team to get you the auto glass and supplies that you need….FAST!",1972,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/689c73cba7729300014debb3/picture,"","","","","","","","","",Owned,"",TX,"","42,000","",Apr 2010,9009-9011 Directors Row,Auto Glass Replcmnt Shops - 7536,"",A & H Management Company,"","","",100%,"","","","","",Dallas,"","",""
National Foods & Beverage Inc,National Foods & Beverage,Cold,"Ultra Enriched Leads, power choosers",21,food & beverages,lpatterson@claritypower.org,http://www.national-foods.com,http://www.linkedin.com/company/nfandb,"","",9030 Premier Row,Dallas,Texas,United States,75247,"9030 Premier Row, Dallas, Texas, United States, 75247","food & beverage services, packaging sauces, production scheduling, haccp principles, food product replication, gmo and organic certification, food safety audits, food manufacturing efficiency, cost-effective sourcing, cost optimization, product formulation, gmp standards, food industry, batch processing, labeling compliance, food ingredient sourcing, product customization, raw material procurement, private label food, food product innovation, food science, customer-specific packaging, food manufacturing, food processing, food safety, culinary expertise, formulation matching, private label sauces, packaging services, flexible packaging, food industry logistics, food safety procedures, food product development, refrigerated food production, flavored ketchup, regulatory compliance, dressings and marinades, blended oils, emulsified dressings, quality control, custom food manufacturer, product scale-up, b2b, services, food & beverages, consumer goods, consumers",'+1 214-905-9700,"Outlook, Microsoft Office 365, Google Cloud Hosting, Varnish, Wix, Mobile Friendly, Remote","","","","","","",6884c3f28655ee0001a226da,2099,"NF&B is a family-based business specializing in processing and packaging customized sauces, dressings and marinades since 1990.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6531a5c5d7803100019a645c/picture,"","","","","","","","","",Leased,"",TX,"","30,024","",Jul 2016,9030 Premier Row,"Durable Goods, Nec - 5099","",Gillis Thomas Company,"","","",100%,"","","","","",Dallas,"","",""
Capps Van & Truck Rental,Capps Van & Truck Rental,Cold,"Ultra Enriched Leads, power choosers",37,transportation/trucking/railroad,lpatterson@claritypower.org,http://www.gocapps.com,http://www.linkedin.com/company/capps-van-truck-rental,"","",8555 John W Carpenter Fwy,Dallas,Texas,United States,75247-4630,"8555 John W Carpenter Fwy, Dallas, Texas, United States, 75247-4630","school bus alternatives, reliable fleet management, passenger transport, cargo transport, rental rates, dependable transportation, cargo vans, commercial vehicle rental, church group transportation, customer service, industry-specific trucks, rental vehicles, specialty fleet services, commercial trucks, vehicle rental, vehicle rental and leasing, truck rental, industry solutions, construction fleet rental, long-term rentals, vehicle leasing, passenger vans, long-distance vehicle rental, fleet management, local government vehicles, energy industry trucks, fleet customization, fleet maintenance, rental policies, vehicle availability, energy industry equipment rental, fleet expansion, dependable vehicles, transport logistics, transportation and logistics, telecom vehicle solutions, short-term rentals, telecommunications equipment rental, fleet solutions, vehicle safety, construction equipment rental, business fleet, customer loyalty, fleet services, b2b, b2c, non-profit, government, services, nonprofit organization management, automotive, car rental, hotels & travel",'+1 800-969-9329,"Gmail, Google Apps, Bootstrap Framework, WordPress.org, Gravity Forms, Microsoft-IIS, Google Font API, Apache, reCAPTCHA, ASP.NET, Mobile Friendly, Remote, TikTok","","","","",1000000,"",6884c3f28655ee0001a22748,7513,"Capps Van & Truck Rental, established in 1972, is a Texas based company meeting the rental transportation needs of our customers.   Capps is a leader in Heavy Duty Pickup truck rental industry.  Capps also rents crew vans.  Capps serves large and small businesses in the energy, construction, and service sectors throughout the continental United States,

Heavy duty pickup trucks are equipped for towing and hauling capabilities (receiver hitch and gooseneck).  All pickup trucks are all 4 wheel drive vehicles equipped with diesel engines and Allison automatic transmissions.  A selection of 3/4, 1, and 1 ½ ton crew cab vehicles with regular bed and flat beds to choose the right truck to meet your needs.   All rentals are covered with 24/7 road side assistance.

Capps has a proven track record of helping customers grow by finding solutions that contribute to safety and profit goals.    Capps knowledgeable and experienced sales professionals create and develop rental plans to allow the flexibility that our customers need to meet their productivity goals.",1972,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/67343c6c9049c10001ff2441/picture,"","","","","","","","","",Leased,"",TX,"","9,240","",Feb 2006,8555 John W Carpenter Fwy,Automobile Rental - 7514,"","","","","",100%,"","","","","",Dallas,"","",""
Superbag,Superbag,Cold,"Ultra Enriched Leads, power choosers",33,building materials,lpatterson@claritypower.org,http://www.superbag.com,http://www.linkedin.com/company/superbag-corporation,"",https://twitter.com/_superbag,9291 Baythorne Dr,Houston,Texas,United States,77041,"9291 Baythorne Dr, Houston, Texas, United States, 77041","local manufacturing in texas, poly mailers, durable plastic bags, recycling logistics support, water-saving manufacturing, degradable additives, recyclable bags, reusable bags, full circle recycling, flexographic printing technology, packaging and containers, california-compliant bags, houston-based production, short lead times, minimal water usage in production, environmentally responsible manufacturing, custom packaging, in-house recycling technology, manufacturing, pcr resins, custom bag design, sustainable bags, eco-label certifications, green packaging innovation, carbon footprint reduction, sustainable products, sustainable supply chain, bag-to-life program, sustainable packaging solutions, biodegradable additives, eco-friendly manufacturing, bio and renewable resins, closed loop recycling, cost-effective eco bags, eco-conscious packaging, biodegradable resins, post-consumer recycled material, performance bags, high-performance bags, biobased resins, flexographic printing, custom sizes and designs, b2b, b2b2c, e-commerce, packaging & containers, shipping, logistics & supply chain, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",'+1 713-462-1173,"Outlook, Microsoft Office 365, WordPress.org, Mobile Friendly, Google Tag Manager, reCAPTCHA, Varnish, Gravity Forms, Nginx, , Remote, Barracuda MSP","","","","",11100000,"",6844720140bec100012dad02,2299,"Superbag Corporation is a building materials company based out of 9291 Baythorne Drive, Houston, Texas, United States.","",https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac09a4ccae0001634980/picture,"","","","","","","","","",Leased,"Qualification Status: Disqualified

Detail: The research findings for Superbag conclusively demonstrate a lack of a verifiable physical address, which is a critical disqualification criterion for Clarity Power's electricity contract targeting. The investigation explicitly notes ""[DISQUALIFICATION]: The inability to verify a physical address suggests that Superbag might not meet the criteria for having a verifiable commercial or industrial location."" This directly aligns with the company's core qualification requirement that a business must have a confirmed commercial or industrial physical location.

The systematic research process, which included attempts to verify the address through multiple sources (company website, public records, Google Maps, and Street View), failed to produce any concrete evidence of a standalone commercial property. The absence of a verifiable physical address is an immediate disqualifying factor according to the established ICP Fit Criteria, which mandate that businesses must have a ""verifiable physical address that is zoned for commercial or industrial use.""

While the company's tech stack includes AWS, suggesting some level of digital infrastructure, this does not compensate for the lack of a physical location that could be evaluated for electricity contract potential. The research findings explicitly state that no specific address could be determined, which prevents any meaningful assessment of the property's zoning, ownership, or energy consumption characteristics.

The comprehensive research methodology employed here—checking company websites, public records, mapping services, and business directories—yielded no actionable information about Superbag's physical operations. This complete absence of verifiable location data triggers an automatic disqualification under Clarity Power's rigorous targeting framework, which prioritizes identifying businesses with clear, independent physical presences that directly control their electricity billing.",TX,"","22,435","",Apr 2006,9282-9298 Baythorne Dr,"Bags: Plastics, Laminated - 2673","",TIAA,"","Reasoning and Analysis
* The core of qualifying a target for Clarity Power’s electricity contracts is determining who actually controls and pays the electricity bill at a given address. Standard firmographics (like industry or employee count) are secondary; the critical factor is the physical location’s zoning and usage.
* The process hinges on low-visibility research—verifying if a business operates from a standalone commercial or industrial property, or if it is a tenant in a multi-tenant building where the property owner is the true customer.
* This approach ensures sales efforts are focused on decision-makers who can sign contracts, maximizing efficiency and reducing wasted outreach.
* The research must be systematic, ethical, and based on publicly available data to ensure scalability and compliance.

ICP Fit Criteria
* The business must have a verifiable physical address that is zoned for commercial or industrial use, not residential.
* The business must be directly responsible for its own electricity bill, which typically means it operates from a standalone building or is the property owner/manager of a multi-tenant building.
* Examples include manufacturing plants, warehouses, standalone retail stores, and restaurants—any business with a clear, independent physical presence.
* The address must be confirmed through public records or visual inspection to rule out residential or purely virtual operations.

High-Value Fit Criteria
* High-value targets are businesses with indicators of high energy consumption, such as manufacturing, cold storage, or data centers.
* Companies that own and operate their own standalone buildings are especially attractive, as they have full control over utility decisions.
* The highest-value signal is identifying a company as a property management group or the owner of a large, multi-tenant commercial building, as they control electricity contracts for multiple tenants.
* Visual or public record confirmation of industrial zoning, loading docks, or large facility footprints further strengthens the high-value signal.

Disqualification Criteria
* Any business address confirmed to be a residential property (house, apartment, condo) is an immediate disqualification.
* Businesses that are purely virtual, with no physical address listed, are not eligible.
* Tenants in multi-tenant buildings who do not control the building’s electricity contract are not valid targets; only the property owner or management group qualifies.
* Addresses that cannot be verified as commercial or industrial through public records or visual inspection should be disqualified.

Research Sources
* Company website “Locations” or “Contact Us” pages for address verification.
* County appraisal district or property tax assessor websites for zoning and ownership details.
* Google Maps and Google Street View for visual confirmation of property type and usage.
* Business directories for initial address information and to cross-reference with other sources.
* Public building directories or leasing information for multi-tenant properties to identify the property owner or management group.","",14.8%,"","","","","Detailed Log of Research Steps Taken
1. Initial Address Verification: Visited the Superbag website to find the company's physical address. However, the website does not provide a clear physical address.
2. Public Records Search: Attempted to verify the company's address through public records, but no specific address was found.
3. Google Maps and Street View Analysis: Without a specific address, it was not possible to analyze the property type using Google Maps or Street View.

Description of Business and Business Model
Superbag appears to be an online presence, but specific details about its business model or physical operations could not be determined due to the lack of a publicly available address.

Observed Indicators of Fit
No specific indicators of fit could be identified due to the absence of a verifiable physical address.

Observed Indicators of Disqualification
[DISQUALIFICATION]: The inability to verify a physical address suggests that Superbag might not meet the criteria for having a verifiable commercial or industrial location.

Relevant Company News or Updates Identified
No relevant news or updates were identified.

Relevant Technologies Identified in Tech Stack
The tech stack includes AWS, which could indicate some level of cloud computing usage, but it does not specifically suggest heavy server usage indicative of a data center.

Relevant Job Openings and Hiring Needs
No specific job openings or hiring needs were identified.",Houston,"","",""
Sushi Axiom,Sushi Axiom,Cold,"Fort Worth Locations, Ultra Enriched Leads, power choosers",41,restaurants,lpatterson@claritypower.org,http://www.sushi-axiom.com,http://www.linkedin.com/company/sushi-axiom-llc,"","","","","","","","","fusion cuisine, restaurants, asian fusion menu, restaurant chain, sake selection, hospitality, full bar, sushi, happy hour promotion, all day happy hour, innovative sushi rolls, restaurant marketing, menu, food service, online ordering, dallas neighborhoods, hibachi, hibachi dining, dining, beverages, sushi restaurant, asian fusion, restaurant expansion, happy hour, employment opportunities, dallas, restaurant locations, hibachi service, japanese beer, japanese cuisine, sake, customer service, dining experience, innovative rolls, multiple restaurant locations, b2c, services, leisure, travel & tourism","","Google Cloud Hosting, Google Analytics, Varnish, Mobile Friendly, Google Tag Manager, Wix, Remote","","","","","","",684d604c7d7d6c00016b268e,5812,"Sushi Axiom showcases the freshest sushi paired with a fusion of Asian specialties including innovative rolls, exceptional cocktails and a welcoming ambiance.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,"","","","","","","","","",Leased,"",TX,$24.22 NNN (Est.),"2,776",Starting Rent,"",5000 N Beach St,"",Moving In,"","","","",23.7%,Jan 2026,"","",Jan 2025,"",Haltom City,"","",""
Promoful (Powered by PMGOA),Promoful,Cold,"Ultra Enriched Leads, power choosers",30,marketing & advertising,lpatterson@claritypower.org,http://www.promoful.com,http://www.linkedin.com/company/promotional-manufacturing-group-of-america---pmgoa,https://www.facebook.com/promofulvibez,https://twitter.com/pmgoa,4659 Wright Rd,Stafford,Texas,United States,77477-4102,"4659 Wright Rd, Stafford, Texas, United States, 77477-4102","print on demand, promotional products, custom apparel, custom products, advertising services, brand promotion, product sourcing, multi-channel sales, print on demand stores, digital printing, graphic design, custom webstores, product catalog, eco-friendly inks, order fulfillment, e-commerce integration, inventory management, corporate gifting, event marketing, e-commerce, product design, product personalization, swag kits, merchandise manufacturing, volume discounts, marketing solutions, on-demand manufacturing, manufacturing, bulk ordering, ready-to-print catalog, promotional giveaways, branded merchandise, sustainable practices, branding, brand loyalty products, contract decoration, custom packaging, inventory control, warehouse services, customer engagement, customization, product customization platform, sustainable products, advertising and marketing services, supply chain, b2b, d2c, services, marketing & advertising, events, events services, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",'+1 855-537-7666,"Route 53, Gmail, Google Apps, Amazon AWS, Rackspace MailGun, Sendgrid, Helpscout, Bootstrap Framework, Stripe, Piwik, Google Tag Manager, Apache, reCAPTCHA, Mobile Friendly, Basis, Talkdesk, ","","","","",6137000,"",68523c6ff2f1570001381cd0,7389,"Promoful is a leading promotional products company, offering a wide range of customized products to help businesses and organizations increase their brand visibility and customer engagement. With a focus on quality, creativity, and innovation, our team of experts works closely with clients to understand their unique needs and develop customized solutions that deliver real results. From custom apparel and branded merchandise to event giveaways and corporate gifts, we offer a diverse range of products and services that are tailored to meet the specific needs of each client. With years of experience in the industry and a commitment to excellence, Promoful is the partner you can trust for all your promotional needs.",2012,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/688f81396e0ebf00017cad2e/picture,Scalable Brands (scalablebrands.com),"","","","","","","","",Leased,"",TX,"","13,559","",May 2021,4855 Alpine Rd,"","",ICO Commercial,"","","",20.0%,"","","","","",Stafford,"","",""
Daiwa Massage Chair,Daiwa Massage Chair,Cold,"Ultra Enriched Leads, Out Of Texas Accounts, power choosers",51,"health, wellness & fitness",lpatterson@claritypower.org,http://www.usjaclean.com,http://www.linkedin.com/company/u-s--jaclean-inc-,https://www.facebook.com/USJaclean/,https://twitter.com/USJACLEAN,1816 West 135th Street,Gardena,California,United States,90249,"1816 West 135th Street, Gardena, California, United States, 90249","luxury massage chairs, health & holistic products, fitness, massage products, fitness accessories, retail support, body massagers, massage chairs, home gym equipment, family-owned business, wellness products, customer support, home health improvement, health and wellness, fitness equipment, health, wellness and fitness, personal health gadgets, wholesale support, home fitness, massage therapy, massage therapy at home, wellness technology, home wellness, wellness tech, warehouse support, u.s. manufacturing, home goods, home health solutions, health tech products, massage devices, product registration, wellness brand, consumer electronics, home health innovation, pressure therapy, targeted massage devices, product distribution, warranty services, aerobic machines, pressure and stretch tools, fitness tools, massagers, health products, pressure tools, compact fitness tools, product repair, personal care devices, b2b, b2c, e-commerce, d2c, services, personal health, health care, hospital & health care, health, wellness & fitness, consumers, hardware, consumer internet, internet, information technology & services",'+1 310-538-2298,"Outlook, Microsoft Office 365, Zendesk, Taboola Newsroom, BigCommerce, FedEx, React, Shopify Unlimited, Facebook Login (Connect), Google Analytics, Google Font API, Mobile Friendly, Typekit, Squarespace ECommerce, Facebook Custom Audiences, MailChimp, Facebook Widget, Google Tag Manager","","","","",5752000,"",68523c70f2f1570001381cf2,3631,"U.S. Jaclean, Inc. is a specialty manufacturer of products that foster personal health and well-being. 
Established in 1982, we offer an assortment of high-quality massagers and health products that are both innovative and functional. We strive to provide affordable, quality products that help consumers improve their quality of life.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/686dff59bd79ce00010f09e6/picture,"","","","","","","","","",Leased,"",TX,$8.88,"9,581",Asking Rent,Aug 2018,806-808 Summer Park Dr,Medical And Hospital Equip - 5047,"","","","","",25%,"","","",Jun 2018,"",Stafford,"","",""
PENNUM Industries,PENNUM Industries,Cold,"Ultra Enriched Leads, LinkedIn Enriched Ads, power choosers, Imari",26,oil & energy,lpatterson@claritypower.org,http://www.pennum.com,http://www.linkedin.com/company/pennum-industries-llc,"","",11957 FM 529 Rd,Houston,Texas,United States,77041,"11957 FM 529 Rd, Houston, Texas, United States, 77041","project management, detailed design, pipeline systems, pipeline facilities, offshore piping, multi-discipline feed, shop fabrication, pigging facilities, metering skids, oil and gas services, line-pipe connectors, offshore piping systems, procurement, fabrication, pmc services, houston-based, flare systems, turnkey solutions, skid packages, thermal oxidizers, construction, structural steel, design and engineering, quality assurance, subsea equipment, 3d modeling, engineering, logistics, umbilical reels, skid systems, oil and gas, project delivery, materials management, slug catchers, project execution, as-built support, engineering services, ultrasonic pipeline measurement, fabrication facilities, b2b, services, productivity, oil & energy, information technology & services",'+1 281-809-7563,"Outlook, Microsoft Office 365, GoDaddy Hosting, Amazon AWS, WordPress.org, Microsoft-IIS, ASP.NET, Varnish, Google Font API, Google Tag Manager, Mobile Friendly, Bootstrap Framework","","","","","","",68547eda4ad9870001be31d6,1389,"Pennum Industries, established in 2005, excels in engineering, designing, and producing intricate skid packages, offshore piping/structural steel systems, pipeline facilities, and subsea equipment.

Our dedicated team of engineering and design experts customizes solutions to align with clients' precise requirements at every stage of the project – from initiation to completion, commissioning, and operation.

Situated in Houston, our self-reliant fabrication facility sets us apart, allowing for comprehensive project management internally. This extensive resource foundation empowers us to promptly adjust to the changing demands of stakeholders in the Oil & Gas Industry.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6894a2a688ff9d0001513561/picture,"","","","","","","","","",Leased,"",TX,$8.28,"31,500",Asking Rent,Nov 2015,11957 FM-529,Manufacturing Industries - 3999,"",Texas Development Company,"","","",100%,"","","",Jun 2015,"",Houston,"","",""
